[Tue Mar 31 00:17:16 2015] [info] Listening at "http://*:8080".
[Tue Mar 31 00:17:16 2015] [info] Manager 9822 started.
[Tue Mar 31 00:17:16 2015] [info] Creating process id file "/Users/qusr/lang/perl/galileo/lswg/script/hypnotoad.pid".
[Tue Mar 31 00:17:58 2015] [info] Starting zero downtime software upgrade.
[Tue Mar 31 00:17:58 2015] [info] Listening at "http://*:8080".
[Tue Mar 31 00:17:58 2015] [info] Manager 9833 started.
[Tue Mar 31 00:17:58 2015] [info] Upgrade successful, stopping 9822.
[Tue Mar 31 00:17:59 2015] [info] Creating process id file "/Users/qusr/lang/perl/galileo/lswg/script/hypnotoad.pid".
[Tue Mar 31 03:53:46 2015] [error] Worker 9835 has no heartbeat, restarting.
[Tue Mar 31 03:53:46 2015] [error] Worker 9836 has no heartbeat, restarting.
[Tue Mar 31 03:53:46 2015] [error] Worker 9837 has no heartbeat, restarting.
[Tue Mar 31 03:53:46 2015] [error] Worker 9834 has no heartbeat, restarting.
[Tue Mar 31 20:20:07 2015] [error] Worker 9888 has no heartbeat, restarting.
[Tue Mar 31 20:20:07 2015] [error] Worker 9889 has no heartbeat, restarting.
[Tue Mar 31 20:20:07 2015] [error] Worker 9887 has no heartbeat, restarting.
[Tue Mar 31 20:20:07 2015] [error] Worker 9890 has no heartbeat, restarting.
[Wed Apr  1 03:52:25 2015] [error] Worker 9898 has no heartbeat, restarting.
[Wed Apr  1 03:52:25 2015] [error] Worker 9900 has no heartbeat, restarting.
[Wed Apr  1 03:52:25 2015] [error] Worker 9899 has no heartbeat, restarting.
[Wed Apr  1 19:37:16 2015] [error] Worker 10396 has no heartbeat, restarting.
[Wed Apr  1 19:37:16 2015] [error] Worker 10398 has no heartbeat, restarting.
[Wed Apr  1 19:37:16 2015] [error] Worker 9896 has no heartbeat, restarting.
[Wed Apr  1 19:37:16 2015] [error] Worker 10395 has no heartbeat, restarting.
